feature.sig/Gene	feature.sig/Protein	feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
PARK7	DJ.1	NA_sym2pro_DJ.1.R.V	0.002308949	0.019661051	51	-0.101107475	0.141654356	0.039245248	0.113126442	0.037503044	BRCA
EGFR	EGFR	EGFR_sym2pro_EGFR_pY1068.R.C	4.86E-06	0.000151865	51	0.268541678	0.082720963	0.357704319	0.091055681	0.359597359	BRCA
EPPK1	EPPK1	EPPK1_sym2pro_EPPK1.M.E	0.002902922	0.02039303	51	0.493109956	0.099940449	0.57416855	0.019656122	0.071800725	BRCA
ESR1	ER.alpha	ESR1_sym2pro_ER.alpha.R.V	3.90E-05	0.000954941	51	-0.633098927	0.218751063	-0.259717508	0.356653638	-0.27644529	BRCA
ESR1	ER.alpha	ESR1_sym2pro_ER.alpha_pS118.R.V	1.92E-07	1.08E-05	51	-0.220105908	0.143549478	-0.062495761	0.157530612	-0.062575296	BRCA
ERCC5	ERCC5	ERCC5_sym2pro_ERCC5.R.C	0.000674678	0.007021648	51	-0.102071894	0.003363468	-0.096043456	0.00089151	-0.101180384	BRCA
FASN	FASN	FASN_sym2pro_FASN.R.V	3.23E-07	1.51E-05	51	0.434696544	-0.013026494	0.41599827	-0.011352281	0.423344263	BRCA
FN1	Fibronectin	FN1_sym2pro_Fibronectin.R.V	0.002546826	0.020272321	51	0.1944795	0.03207882	0.21030464	0.016222724	0.210702224	BRCA
G6PD	G6PD	G6PD_sym2pro_G6PD.M.V	1.71E-10	2.40E-08	51	0.221192785	-0.053241259	0.175141055	-0.052884119	0.168308666	BRCA
GAPDH	GAPDH	GAPDH_sym2pro_GAPDH.M.C	7.04E-05	0.001236454	51	0.28565784	0.128436886	0.332735883	0.047769132	0.333426972	BRCA
KAT2A 	GCN5L2	NA_sym2pro_GCN5L2.R.V	0.002796752	0.02039303	51	-0.114844094	-0.040194977	-0.168609596	-0.035908032	-0.143379009	BRCA
ERBB2	HER2	ERBB2_sym2pro_HER2.M.V	8.38E-11	2.36E-08	51	0.482137004	-0.061274716	0.383801535	-0.089078309	0.393058695	BRCA
ERBB2	HER2	ERBB2_sym2pro_HER2_pY1248.R.C	6.50E-06	0.000182542	51	0.317708949	0.085240581	0.36382655	0.048919911	0.20398089	BRCA
ERBB2	HER2	NA_sym2pro_HER2_pY1248.R.V	6.76E-05	0.001236454	51	0.324245203	0.000402189	0.341248011	0.006470277	0.203697844	BRCA
IGF1R	IGF1R	IGF1R_sym2pro_IGF1R_pY1135_Y1136.R.V	0.004630444	0.028914553	51	-0.053578418	0.000798582	-0.03977604	0.012094961	-0.041483457	BRCA
INPP4B	INPP4B	INPP4B_sym2pro_INPP4B.R.V	0.004967127	0.030342666	51	-0.263618234	0.07522809	-0.120407126	0.02763024	-0.017172536	BRCA
STK11	LKB1	STK11_sym2pro_LKB1.M.E	4.08E-05	0.000954941	51	-0.061340549	-0.016803768	-0.068396146	-0.010482943	-0.071823491	BRCA
MRE11A	Mre11	MRE11A_sym2pro_Mre11.R.C	0.002976184	0.02039775	51	-0.071302027	-0.047727428	-0.107172663	-0.039259994	-0.110562022	BRCA
PCNA	PCNA	NA_sym2pro_PCNA.M.V	0.000111666	0.001845769	51	0.0920938	0.003223244	0.091313004	0.002679616	0.080233272	BRCA
PDCD4	PDCD4	PDCD4_sym2pro_PDCD4.R.C	1.06E-09	9.94E-08	51	-0.417372917	0.121317124	-0.271237637	0.132273509	-0.285099408	BRCA
PIK3CA	PI3K.p110.alpha	PIK3CA_sym2pro_PI3K.p110.alpha.R.C	0.004133076	0.026395325	51	-0.055762672	0.033948509	-0.016685599	0.033055328	-0.022707345	BRCA
PXN	Paxillin	PXN_sym2pro_Paxillin.R.C	5.23E-07	2.10E-05	51	0.206338781	-0.046136697	0.143473783	-0.033731986	0.049506398	BRCA
RICTOR	Rictor	RICTOR_sym2pro_Rictor_pT1135.R.V	0.002651013	0.020272321	51	-0.062704778	0.010333061	-0.037846744	0.021730112	-0.040974666	BRCA
SLC1A5	SLC1A5	NA_sym2pro_SLC1A5.R.C	0.000603336	0.006520668	51	0.168809614	-0.117315165	0.053127941	-0.092980737	0.045864067	BRCA
TFRC	TFRC	TFRC_sym2pro_TFRC.R.V	0.000146169	0.002161767	51	0.194117451	0.077281172	0.238220577	0.051319005	0.245436456	BRCA
C12ORF5	TIGAR	C12ORF5_sym2pro_TIGAR.R.V	0.00609871	0.034974233	51	0.044750969	-0.017031693	0.023624068	-0.017957409	0.02679356	BRCA
TSC1	TSC1	TSC1_sym2pro_TSC1.R.C	0.002669309	0.020272321	51	0.131224534	-0.058595246	0.071236726	-0.067750633	0.063473901	BRCA
TGM2	Transglutaminase	TGM2_sym2pro_Transglutaminase.M.V	0.004056602	0.026395325	51	0.060055374	0.015133066	0.060928044	0.00111634	0.061171715	BRCA
KIT	c.Kit	KIT_sym2pro_c.Kit.R.V	0.002845273	0.02039303	51	-0.17890362	0.285785983	0.085528849	0.280224558	0.101320939	BRCA
BIRC2	cIAP	BIRC2_sym2pro_cIAP.R.V	0.001395108	0.014000905	51	-0.059429894	-0.00992263	-0.063630619	-0.006044886	-0.065474781	BRCA
EEF2	eEF2	EEF2_sym2pro_eEF2.R.C	0.000331259	0.004231075	51	0.206115645	0.037828058	0.186755489	-0.006338389	0.067368207	BRCA
EEF2	eEF2	NA_sym2pro_eEF2.R.V	0.006080052	0.034974233	51	0.058200314	-0.04925394	0.007885837	-0.037172921	0.002504999	BRCA
EIF4G1	eIF4G	EIF4G1_sym2pro_eIF4G.R.C	0.0076333	0.042057986	51	0.125169257	-0.067897463	0.057512641	-0.072899296	0.052269961	BRCA
CDKN1B	p27	CDKN1B_sym2pro_p27.R.V	2.28E-06	7.99E-05	51	-0.131198753	0.063967185	-0.056666287	0.066443678	-0.064755075	BRCA
CDKN1B	p27	CDKN1B_sym2pro_p27_pT157.R.C	0.000140859	0.002161767	51	-0.062224475	0.012777374	-0.046054785	0.01327686	-0.048947615	BRCA
SQSTM1	p62.LCK.ligand	NA_sym2pro_p62.LCK.ligand.M.E	6.52E-05	0.001236454	51	0.248294335	-0.064301746	0.182891807	-0.051252115	0.164188933	BRCA
RPS6KA1	p90RSK	RPS6KA1_sym2pro_p90RSK_pT359_S363.R.C	0.000349596	0.00427115	51	-0.079854865	0.022216277	-0.041474371	0.034449768	-0.045405098	BRCA
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1_pT37_T46.R.V	2.72E-05	0.005958995	1	-0.440943523	0.299811993	-0.066695865	0.333863491	-0.107080033	ESCA
YWHAZ	14.3.3	YWHAZ_sym2pro_14.3.3_zeta.R.V	0.003731777	0.034518936	28	-0.170362245	0.022559495	-0.090596865	0.068834839	-0.101527405	GBM
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1_pS65.R.V	0.003210697	0.030990204	28	-0.234457452	0.125234957	-0.099833112	0.133503263	-0.100954188	GBM
ARAF	A.Raf	ARAF_sym2pro_A.Raf.R.V	5.35E-05	0.003957081	28	0.314430007	-0.174966037	0.139210804	-0.181212039	0.133217968	GBM
PRKAA1	AMPK	PRKAA1_sym2pro_AMPK_pT172.R.V	0.002078699	0.028814549	28	0.439591164	-0.340626515	0.002196736	-0.377054516	0.062536648	GBM
BAD	Bad	BAD_sym2pro_Bad_pS112.R.V	0.002906665	0.029330893	28	0.194701332	-0.197973247	-0.012943925	-0.194216725	0.000484607	GBM
BAX	Bax	BAX_sym2pro_Bax.R.V	0.000964637	0.023794376	28	0.378235468	-0.078360783	0.214974354	-0.113237961	0.264997507	GBM
CCND1	Cyclin	CCND1_sym2pro_Cyclin_D1.R.V	0.004911176	0.040380778	28	-0.193906281	0.119947004	-0.016086431	0.141927816	-0.051978465	GBM
EGFR	EGFR	EGFR_sym2pro_EGFR_pY1068.R.C	0.000263622	0.014631028	28	1.578183905	-0.001945932	1.3358436	-0.175023242	1.362573666	GBM
EGFR	EGFR	EGFR_sym2pro_EGFR_pY1173.R.V	0.000540452	0.019996728	28	1.053859873	0.069923609	0.980261374	-0.039746128	0.984780089	GBM
ESR1	ER.alpha	ESR1_sym2pro_ER.alpha_pS118.R.V	0.002509331	0.028814549	28	-0.218195469	0.220036513	0.023276099	0.232671019	0.01447555	GBM
ERBB2	HER2	ERBB2_sym2pro_HER2_pY1248.R.C	0.00036424	0.016172251	28	0.808771884	-0.116461362	0.547832937	-0.210172825	0.581284336	GBM
ERBB3	HER3	ERBB3_sym2pro_HER3_pY1289.R.C	0.001256489	0.027894055	28	-0.27922559	0.175517557	-0.126721923	0.158765663	-0.120459927	GBM
RELA	NF.kB.p65	RELA_sym2pro_NF.kB.p65_pS536.R.C	0.002432884	0.028814549	28	0.476280113	-0.186819742	0.18205775	-0.207982877	0.268297236	GBM
CDH3	P.Cadherin	CDH3_sym2pro_P.Cadherin.R.C	0.002595905	0.028814549	28	0.288370945	-0.079099703	0.204127935	-0.05896835	0.229402595	GBM
RAD50	Rad50	NA_sym2pro_Rad50.M.C	0.001702546	0.028814549	28	0.173830426	-0.015941589	0.078317698	-0.066840673	0.106989754	GBM
PTPN11	SHP.2	PTPN11_sym2pro_SHP.2_pY542.R.C	0.004083807	0.036264207	28	0.445275072	-0.196960309	0.151174717	-0.279035509	0.166239562	GBM
STAT3	STAT3	STAT3_sym2pro_STAT3_pY705.R.V	0.001999847	0.028814549	28	0.461314464	-0.186048845	0.177871678	-0.265110865	0.196203599	GBM
STAT5A	STAT5.alpha	STAT5A_sym2pro_STAT5.alpha.R.V	0.001759704	0.028814549	28	0.368623882	-0.285337441	0.015399645	-0.303636561	0.064987321	GBM
SMAD1	Smad1	SMAD1_sym2pro_Smad1.R.V	0.000701578	0.022250035	28	0.274899114	-0.123039286	0.104958243	-0.133426233	0.141472881	GBM
SRC..LYN..FYN..LCK..YES1..HCK	Src	SRC..LYN..FYN..LCK..YES1..HCK_sym2pro_Src_pY416.R.C	0.005519643	0.04376288	28	0.413619075	-0.123800503	0.215856642	-0.200373475	0.2132456	GBM
SYK	Syk	SYK_sym2pro_Syk.M.V	0.004429063	0.037817386	28	0.451508426	-0.361318723	0.113764828	-0.395578364	0.055930062	GBM
KIT	c.Kit	KIT_sym2pro_c.Kit.R.V	0.001709477	0.028814549	28	-1.211166648	0.930565331	-0.164069392	0.989130371	-0.222036277	GBM
EEF2K	eEF2K	EEF2K_sym2pro_eEF2K.R.V	0.000851709	0.023634914	28	0.366643099	-0.116910696	0.122672615	-0.17682526	0.189817839	GBM
EIF4E	eIF4E	EIF4E_sym2pro_eIF4E.R.V	0.002079466	0.028814549	28	0.158295285	-0.050071653	0.080932778	-0.057117474	0.101177811	GBM
CDKN2A	p16	CDKN2A_sym2pro_p16_INK4a.R.V	0.002563476	0.028814549	28	-1.143908851	1.555799417	0.521507715	1.538636608	0.394727756	GBM
MAPK14	p38	NA_sym2pro_p38_MAPK.R.C	2.86E-05	0.003957081	28	0.346530786	-0.183156838	0.077808329	-0.243524218	0.103006568	GBM
MAPK14	p38	MAPK14_sym2pro_p38_pT180_Y182.R.V	4.37E-05	0.003957081	28	0.617045308	-0.340564793	0.140947518	-0.422721296	0.194324012	GBM
RPS6KB1	p70S6K	RPS6KB1_sym2pro_p70S6K_pT389.R.V	0.002791407	0.029330893	28	-0.60682556	0.455286218	-0.026375276	0.485714414	-0.121111146	GBM
CASP7	Caspase.7	CASP7_sym2pro_Caspase.7_cleavedD198.R.C	0.000737472	0.022369979	9	-0.126703265	0.140446397	0.017303672	0.144371367	0.017668103	KIRC
CCNE2	Cyclin	CCNE2_sym2pro_Cyclin_E2.R.C	0.000375256	0.020313841	9	-0.079852948	0.027484011	-0.055732625	0.023282712	-0.056570236	KIRC
MAPK1	ERK2	MAPK1_sym2pro_ERK2.R.E	0.000398642	0.020313841	9	0.194740946	-0.166176749	0.041747367	-0.158454982	0.036285964	KIRC
GATA3	GATA3	GATA3_sym2pro_GATA3.M.V	1.06E-06	0.000192097	9	-0.107633719	0.05731807	-0.054491729	0.052305954	-0.055327766	KIRC
ERBB3	HER3	ERBB3_sym2pro_HER3.R.V	0.000599224	0.022369979	9	0.268871467	-0.097207745	0.176158905	-0.100296658	0.168574809	KIRC
TSC2	Tuberin	TSC2_sym2pro_Tuberin_pT1462.R.V	1.41E-06	0.000192097	9	0.171117376	-0.053496393	0.111030712	-0.05483094	0.116286436	KIRC
XRCC1	XRCC1	NA_sym2pro_XRCC1.R.C	0.000668882	0.022369979	9	-0.063230211	0.037633203	-0.030924283	0.028943593	-0.030943116	KIRC
EIF4G1	eIF4G	EIF4G1_sym2pro_eIF4G.R.C	0.000240209	0.020313841	9	0.154224082	-0.11212249	0.055315548	-0.100073959	0.054150123	KIRC
RPS6KA1	p90RSK	RPS6KA1_sym2pro_p90RSK.R.C	0.000446458	0.020313841	9	0.155984809	-0.07462305	0.085116176	-0.068556665	0.087428144	KIRC
YWHAZ	14.3.3	YWHAZ_sym2pro_14.3.3_zeta.R.V	7.28E-10	8.16E-08	88	-0.358586902	0.067269993	-0.241678565	0.098416886	-0.260170016	KIRP
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1.R.V	0.001384629	0.005813695	88	0.155755984	-0.012129162	0.159373217	0.004715752	0.160471736	KIRP
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1_pS65.R.V	0.001053568	0.00481406	88	-0.125174691	-0.017188055	-0.141580408	-0.032343564	-0.157518255	KIRP
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1_pT37_T46.R.V	1.29E-05	0.000180454	88	-0.337945291	0.10955218	-0.197594352	0.119615485	-0.218329806	KIRP
ADAR	ADAR1	ADAR_sym2pro_ADAR1.M.V	0.003085696	0.010460408	88	0.079870693	-0.028002404	0.034852402	-0.044995732	0.034874961	KIRP
PRKAA1	AMPK	PRKAA1_sym2pro_AMPK_pT172.R.V	0.013947551	0.037193469	88	0.311096514	-0.264586903	-0.005362922	-0.305982905	0.005113609	KIRP
AKT1..AKT2..AKT3	Akt	AKT1..AKT2..AKT3_sym2pro_Akt.R.V	0.002223255	0.008032405	88	-0.279421262	0.009916418	-0.245701777	-0.035676386	-0.315097647	KIRP
BRAF	B.Raf	BRAF_sym2pro_B.Raf_pS445.R.V	0.001018898	0.004754858	88	-0.206352284	-0.000636793	-0.23330947	-0.035280823	-0.241633108	KIRP
BAK1	Bak	BAK1_sym2pro_Bak.R.E	0.000951108	0.004631484	88	0.131115675	0.051113192	0.202760684	0.074979025	0.197636328	KIRP
BAP1	Bap1.c.4	BAP1_sym2pro_Bap1.c.4.M.E	0.001958989	0.007427029	88	0.134542961	-0.063999856	-0.030737566	-0.154769752	-0.02022679	KIRP
BCL2L1	Bcl.xL	BCL2L1_sym2pro_Bcl.xL.R.V	4.40E-05	0.000447881	88	-0.19302861	0.027095945	-0.108388618	0.052357258	-0.140671352	KIRP
BCL2A1	Bcl2A1	BCL2A1_sym2pro_Bcl2A1.R.V	0.011108523	0.030345235	88	-0.092383378	0.033397308	-0.012711215	0.081858574	-0.010524804	KIRP
BECN1	Beclin.1	BECN1_sym2pro_Beclin.G.C	0.005650835	0.017105231	88	0.070864026	0.003709811	0.074862961	0.005675209	0.076539235	KIRP
BID	Bid	BID_sym2pro_Bid.R.C	0.006669183	0.019918626	88	-0.090999084	-0.021323678	-0.070529346	0.017328586	-0.073670498	KIRP
PECAM1	CD31	PECAM1_sym2pro_CD31.M.V	0.000278918	0.001837575	88	0.192435215	0.097627963	0.317564285	0.134670223	0.327105439	KIRP
CDK1	CDK1	CDK1_sym2pro_CDK1.R.V	2.47E-06	4.62E-05	88	0.228949739	0.061920777	0.290526757	0.085187454	0.314137192	KIRP
CDK1	CDK1	CDK1_sym2pro_CDK1_pY15.R.C	0.000151881	0.001173151	88	0.151626268	-0.007662088	0.132944791	-0.001363978	0.15026229	KIRP
CASP3	Caspase.3	CASP3_sym2pro_Caspase.3.R.E	0.000929658	0.00462763	88	-0.283103134	0.045156982	-0.142064965	0.131476444	-0.141153584	KIRP
CAV1	Caveolin.1	CAV1_sym2pro_Caveolin.1.R.V	0.008510972	0.0243645	88	-0.339185574	0.194142322	0.077259388	0.306701845	-0.032483729	KIRP
CHEK1	Chk1	CHEK1_sym2pro_Chk1.M.C	2.21E-07	9.91E-06	88	0.280979491	0.016161811	0.260724213	0.000430665	0.281410156	KIRP
CHEK1	Chk1	CHEK1_sym2pro_Chk1_pS296.R.V	0.000530177	0.003125256	88	-0.10633491	0.007779384	-0.077561991	0.028511856	-0.077823054	KIRP
CHEK2	Chk2	CHEK2_sym2pro_Chk2_pT68.R.E	0.015452048	0.040247196	88	0.096868753	0.04750244	0.153820896	0.063199463	0.153611895	KIRP
CCNB1	Cyclin	CCNB1_sym2pro_Cyclin_B1.R.V	0.001886391	0.007285373	88	0.220142429	0.074208017	0.313632738	0.11496614	0.335108568	KIRP
DIRAS3	DIRAS3	DIRAS3_sym2pro_DIRAS3.M.E	1.89E-05	0.000222845	88	0.215274574	0.091960507	0.256974896	0.063758882	0.279033456	KIRP
PARK7	DJ.1	PARK7_sym2pro_DJ.1.R.E	0.004176673	0.013365352	88	-0.108126545	0.035054521	-0.097320595	0.018992978	-0.089133567	KIRP
EGFR	EGFR	EGFR_sym2pro_EGFR_pY1068.R.C	0.000192942	0.001394158	88	0.239498125	0.063212185	0.284765885	0.059314537	0.298812662	KIRP
EPPK1	EPPK1	EPPK1_sym2pro_EPPK1.M.E	0.000733758	0.004008825	88	0.403977781	-0.050845212	0.071183877	-0.265242719	0.138735062	KIRP
ESR1	ER.alpha	ESR1_sym2pro_ER.alpha.R.V	7.53E-07	2.11E-05	88	0.276311118	0.122434802	0.41198616	0.130607318	0.406918437	KIRP
ERCC1	ERCC1	ERCC1_sym2pro_ERCC1.M.V	0.000602911	0.003462871	88	0.194307424	-0.208269835	-0.053434629	-0.255630961	-0.061323537	KIRP
ERCC5	ERCC5	ERCC5_sym2pro_ERCC5.R.C	1.07E-05	0.000160109	88	-0.294601181	0.08430716	-0.201798028	0.085759937	-0.208841243	KIRP
MAPK1	ERK2	MAPK1_sym2pro_ERK2.R.E	0.002602816	0.008969704	88	-0.192113237	-0.083551176	-0.247405121	-0.080393254	-0.272506491	KIRP
FOXO3	FOXO3a	FOXO3_sym2pro_FOXO3a.R.C	3.64E-07	1.17E-05	88	0.262044938	0.033189613	0.256128397	0.019681661	0.281726599	KIRP
FOXM1	FoxM1	FOXM1_sym2pro_FoxM1.R.V	1.77E-06	3.61E-05	88	0.309597373	0.047433787	0.351185885	0.068682731	0.378280104	KIRP
